source,target,weight
Nintendo,Sega,2
Nintendo,LucasArts,2
Nintendo,505 Games,2
Nintendo,Capcom,1
Nintendo,Ubisoft,1
Sega,505 Games,2
Sega,LucasArts,2
505 Games,LucasArts,2
Ubisoft,Sega,1
Ubisoft,LucasArts,1
Ubisoft,505 Games,1
Ubisoft,Electronic Arts,2
Ubisoft,Capcom,1
Microsoft Game Studios,Electronic Arts,2
Microsoft Game Studios,Activision,2
Microsoft Game Studios,Take-Two Interactive,1
Microsoft Game Studios,Ubisoft,1
Electronic Arts,Capcom,1
Activision,Electronic Arts,4
Activision,Capcom,1
Activision,Ubisoft,2
Take-Two Interactive,Electronic Arts,3
Take-Two Interactive,Activision,4
Take-Two Interactive,Capcom,2
Take-Two Interactive,Ubisoft,2
